"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2057095583530463594","Employee : Hi , just a heads up, I’ve attached the formal letter via email but I am giving my two weeks. My last day will be the 28th.

Boss : (Silence)

Employee : Hello...

Boss : Morning. Can you send over the report file when you get a sec?

Employee : Sure thing

Boss :  Thanks.

Employee : Did you see my message above?

Boss : Yes I’ll get to it, for now client is asking for the report by 11.

Employee :It's been sent

Boss :  (Silence)

Employee : Can we find 15 minutes today to talk about my resignation.

Boss :  Bit slammed today. Can you jump on the 2pm with the client team?

Employee : I can, but I need to discuss the handover.

Boss : Handover for what?

Employee : My resignation

Boss : (Silence)

Employee : I have booked 4pm in your calendar

Boss : Had to move it, sorry. Can you take the client's call at 4 instead? They asked for you specifically.

Employee : I'll take the call. I still need the 15 minutes

Boss : Noted

Employee : It’s been four days. I’ve CC’d HR directly. My last day is the 28th. That’s confirmed with them.

Boss : But I'm away until the 29th?

Employee : This is why I tried to get a call in, this the third time I’ve told you.

Boss : Let's talk when I'm back.","en","Tweet","Simons","Simon_Ingari","14327","2","1","0","23","3","2026-05-20 19:16:20","https://x.com/Simon_Ingari/status/2057095583530463594","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057090411529720061","Manager : Where are you?

Employee : It's -10 degrees, the roads are frozen

Manager : Yes, where are you? We're all here at the office

Employee : You know I don't drive when it's below freezing. I've mentioned this multiple times including during my interview.

Manager : I understand you’re nervous, but we still need you here for the 10:00am client meeting.

Employee : Again I can’t drive in these conditions. I have severe anxiety about winter driving after my accident three years ago. I can work from home and take the call remotely.

Manager :  Is there someone who could drive you in? A family member or roommate?

Employee : No reasonable person is driving in this weather. The local government issued a travel advisory at 6:00 A.M. I’m working from home today and I’ll join the call from here.

Manager : The temperature just went up to -2 degrees. Any chance you can come in now?

Employee : That’s when the roads are most dangerous. Black ice forms when temperatures hover around freezing. No, I’m not risking my life for a meeting that I can attend virtually. Do you actually want me to die on black ice?

Manager : I obviously do not want you to die on black ice

Employee :Then stop asking me to drive in unsafe conditions. I’m logged in and available for the full workday from home.","en","Tweet","Simons","Simon_Ingari","4110","5","1","0","16","0","2026-05-20 18:55:47","https://x.com/Simon_Ingari/status/2057090411529720061","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057083739000414668","Manager : Your Teams status has been showing as away for the past 45 minutes. Are you actually working?

Employee: Yes. I’ve been working on the quarterly report. We were literally on a call together at 2:00 PM discussing the exact document I’m working on right now.

Manager : Your status says away. That means you’re not at your computer.

Employee: I’m at my computer. I’m typing this message to you from my computer. Teams sets my status to away when I’m working in other applications for extended periods. I’ve been in Excel for the last hour building the financial models you asked for.

Manager :I find that hard to believe. If you were actually working, your status would be green.

Employee: That’s not how Teams works. The status updates based on mouse movement and activity within Teams specifically, not activity across my entire computer. I sent you three emails in the past hour with updated projections. Check your inbox.

Manager : Anyone can send emails. That doesn’t prove you’re actively working.

Employee:  I was on a video call with you 90 minutes ago. You watched me share my screen. You saw me working on this exact file. I’ve completed 12 of the 15 deliverables you assigned yesterday. What exactly do you think I’m doing?

Manager : Okay, fine. But going forward, you need to make sure your Teams status stays green. I need to be able to see that you’re online and available

Employee: My Teams status will continue to show away when I’m working in other applications. That’s how the software functions. If you need to reach me, send me a message and I’ll respond within 10 minutes like I always do.

Manager : I still expect to see that green dot. Can you just move your mouse every few minutes?

 ↓  ↓","en","Origin","Simons","Simon_Ingari","4927","6","0","0","15","3","2026-05-20 18:29:16","https://x.com/Simon_Ingari/status/2057083739000414668","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057083745166148088","10 Features of a Standout CV 

Want to have 3-5 interviews in 2 months? Here is how to write your CV

1. Clean, Easy-to-Read Layout: First impressions matter. Keep your CV structured, with clear headings and enough white space for easy scanning.

2. Tailored for the Role: One CV doesn’t fit all jobs. Match your skills and experience to the job description to show you're the perfect fit.

3. Powerful Personal Summary: In a few lines, highlight who you are, what you bring, and why you’re the best candidate. Hook them from the start!

4. Achievements Over Duties: Don’t just list tasks — show impact. Use action verbs and numbers to highlight your results.

5. ATS-Friendly Keywords: Use relevant keywords from the job description to get past Applicant Tracking Systems.

6. Updated Contact Details: Make sure your phone, email, and LinkedIn profile are accurate and easy to find.

7. Relevant Skills Section: Highlight both technical and soft skills that align with the job requirements.

8. Clear Work Experience: List jobs in reverse order, showcasing contributions and achievements in each role.

9. Education & Certifications: Include degrees, relevant courses, and certifications that add value to your profile.

10. Polished and Error-Free: Typos can cost you opportunities. Proofread carefully or get someone to review it for you.

I want to help 50 applicants improve their CVs and LinkedIn profile at a discounted price. You will be surprised at the discount ! 

If you’ve been:
✅ Applying for jobs without getting interviews
✅ Wondering why your CV isn’t working
✅ Ready for a professional CV that stands out

👉 This is for you 

What you’ll get:

💯 A cleaner, stronger CV

💯 ATS-friendly format

💯 CV that shows your strengths clearly

📌 How to get the offer:

Send your CV to cv@oyk.co.ke with the Subject: ""Revamp Discount""

✅ Only 50 slots available — first come, first served!

Let’s help you stand out and land that job.","en","Reply","Simons","Simon_Ingari","1099","1","0","0","0","0","2026-05-20 18:29:18","https://x.com/Simon_Ingari/status/2057083745166148088","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057083747863044172","Follow my WhatsApp Channel for Latest Job, Internship Opportunities and Updates on Shortlisted Candidates 

Link :

https://t.co/Sj84lvfjt2","en","Reply","Simons","Simon_Ingari","730","0","0","0","0","0","2026-05-20 18:29:18","https://x.com/Simon_Ingari/status/2057083747863044172","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://whatsapp.com/channel/0029Va5mrRwAO7RPMKbYII2n","",""
"2057077802210586629","Manager : Hey, are you free for a quick call at 5:45 p.m?

Employee : Yes, but I need to be out by 7, I’ve got plans in the city.

Manager : Perfect, see you then.

Later on at 5.45 pm ...

Manager : Sorry, just finishing something up. Give me 10 minutes.

Employee : (No response)

Manager : Still in it, my bad. Can we say 6:15?

Employee : Sure

Manager : 5 more minutes, sorry about this

Employee :I'm sorry am about to run out. Can we reschedule tomorrow?

Manager: (Silence)

Employee : Hello

Manager: Ready when you are.

Employee : (Silence)

Manager: Hi John, this is unacceptable, calling you now

Employee : Am on the bus
 
Manager: Can you talk?

Employee : No. I said I needed to leave by 7 and I’m out.

Manager: It won't take long 

Employee :It already has

Manager: This really isn’t good enough, we had a call scheduled.

Employee : We had a call scheduled at 5.45 pm

Manager: Call me when you are off the bus

Employee : (Silence)

Manager: Hello

 ↓  ↓","en","Origin","Simons","Simon_Ingari","3105","4","0","0","7","0","2026-05-20 18:05:41","https://x.com/Simon_Ingari/status/2057077802210586629","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057077808774660198","10 Features of a Standout CV 

Want to have 3-5 interviews in 2 months? Here is how to write your CV

1. Clean, Easy-to-Read Layout: First impressions matter. Keep your CV structured, with clear headings and enough white space for easy scanning.

2. Tailored for the Role: One CV doesn’t fit all jobs. Match your skills and experience to the job description to show you're the perfect fit.

3. Powerful Personal Summary: In a few lines, highlight who you are, what you bring, and why you’re the best candidate. Hook them from the start!

4. Achievements Over Duties: Don’t just list tasks — show impact. Use action verbs and numbers to highlight your results.

5. ATS-Friendly Keywords: Use relevant keywords from the job description to get past Applicant Tracking Systems.

6. Updated Contact Details: Make sure your phone, email, and LinkedIn profile are accurate and easy to find.

7. Relevant Skills Section: Highlight both technical and soft skills that align with the job requirements.

8. Clear Work Experience: List jobs in reverse order, showcasing contributions and achievements in each role.

9. Education & Certifications: Include degrees, relevant courses, and certifications that add value to your profile.

10. Polished and Error-Free: Typos can cost you opportunities. Proofread carefully or get someone to review it for you.

I want to help 50 applicants improve their CVs and LinkedIn profile at a discounted price. You will be surprised at the discount ! 

If you’ve been:
✅ Applying for jobs without getting interviews
✅ Wondering why your CV isn’t working
✅ Ready for a professional CV that stands out

👉 This is for you 

What you’ll get:

💯 A cleaner, stronger CV

💯 ATS-friendly format

💯 CV that shows your strengths clearly

📌 How to get the offer:

Send your CV to cv@oyk.co.ke with the Subject: ""Revamp Discount""

✅ Only 50 slots available — first come, first served!

Let’s help you stand out and land that job.","en","Reply","Simons","Simon_Ingari","780","1","0","0","0","0","2026-05-20 18:05:42","https://x.com/Simon_Ingari/status/2057077808774660198","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057077811421295061","Follow my WhatsApp Channel for Latest Job, Internship Opportunities and Updates on Shortlisted Candidates 

Link :

https://t.co/Sj84lvfjt2","en","Reply","Simons","Simon_Ingari","574","0","0","0","0","0","2026-05-20 18:05:43","https://x.com/Simon_Ingari/status/2057077811421295061","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://whatsapp.com/channel/0029Va5mrRwAO7RPMKbYII2n","",""
"2057072431295275460","Manager: Are you planning to come today?

Employee : No. I broke my leg yesterday. I’m in a cast and on crutches. I sent you a photo of the X-ray and the doctors note last night at 9pm.

Manager:  I saw that, how long will you be out? 

Employee : The doctor said minimum four weeks before I can put weight on it. I’ll be working remotely starting tomorrow once the pain medication wears off enough for me to focus.

Manager: We really need you here for the team standup meetings. Can you make it in just for those?

Employee : I can’t drive. My right leg is broken and I have a manual transmission. The standup meetings are 15 minutes long. I can join those on video.

Manager: What about taking the Uber?

Employee : I’m not taking an Uber to the office to sit through a 15-minute meeting when I can do my entire job from home. I had surgery yesterday. I’m on prescription painkillers.

Manager: The thing is, we really value in-person collaboration. What if we got you a chair? You could sit during the meetings.

Employee : I already have a chair. At my house, where I’ll be working for the next four weeks as stated in the medical documentation I provided.

Manager: Not showing up won't be good for you.

Employee : I’m not coming into the office with a broken leg. This is not negotiable. I will be working remotely as outlined in my doctor’s note and as permitted under the company’s medical leave policy. Stop asking.

 ↓  ↓","en","Origin","Simons","Simon_Ingari","30593","5","0","0","75","10","2026-05-20 17:44:20","https://x.com/Simon_Ingari/status/2057072431295275460","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2057072436953399669","10 Features of a Standout CV 

Want to have 3-5 interviews in 2 months? Here is how to write your CV

1. Clean, Easy-to-Read Layout: First impressions matter. Keep your CV structured, with clear headings and enough white space for easy scanning.

2. Tailored for the Role: One CV doesn’t fit all jobs. Match your skills and experience to the job description to show you're the perfect fit.

3. Powerful Personal Summary: In a few lines, highlight who you are, what you bring, and why you’re the best candidate. Hook them from the start!

4. Achievements Over Duties: Don’t just list tasks — show impact. Use action verbs and numbers to highlight your results.

5. ATS-Friendly Keywords: Use relevant keywords from the job description to get past Applicant Tracking Systems.

6. Updated Contact Details: Make sure your phone, email, and LinkedIn profile are accurate and easy to find.

7. Relevant Skills Section: Highlight both technical and soft skills that align with the job requirements.

8. Clear Work Experience: List jobs in reverse order, showcasing contributions and achievements in each role.

9. Education & Certifications: Include degrees, relevant courses, and certifications that add value to your profile.

10. Polished and Error-Free: Typos can cost you opportunities. Proofread carefully or get someone to review it for you.

I want to help 50 applicants improve their CVs and LinkedIn profile at a discounted price. You will be surprised at the discount ! 

If you’ve been:
✅ Applying for jobs without getting interviews
✅ Wondering why your CV isn’t working
✅ Ready for a professional CV that stands out

👉 This is for you 

What you’ll get:

💯 A cleaner, stronger CV

💯 ATS-friendly format

💯 CV that shows your strengths clearly

📌 How to get the offer:

Send your CV to cv@oyk.co.ke with the Subject: ""Revamp Discount""

✅ Only 50 slots available — first come, first served!

Let’s help you stand out and land that job.","en","Reply","Simons","Simon_Ingari","5246","1","0","0","0","1","2026-05-20 17:44:22","https://x.com/Simon_Ingari/status/2057072436953399669","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
